Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,rowid,y1
51.0,10.0,35.0,22.0,59.0,13.0,230.0,30.01,30.04,1,1
51.0,10.0,49.0,27.0,43.0,29.0,280.0,29.8,29.82,2,1
51.0,10.0,22.0,-3.0,33.0,17.0,300.0,30.4,30.43,3,1
51.0,10.0,21.0,11.0,65.0,13.0,270.0,30.01,30.04,4,0
51.0,10.0,9.0,-12.0,37.0,24.0,310.0,30.27,30.3,5,0
51.0,10.0,22.0,6.0,50.0,23.0,220.0,30.21,30.23,6,1
51.0,10.0,36.0,20.0,52.0,7.0,230.0,30.47,30.5,7,1
51.0,10.0,37.0,31.0,79.0,11.0,350.0,30.22,30.25,8,1
51.0,10.0,20.0,8.0,60.0,14.0,30.0,30.55,30.58,9,0
51.0,10.0,29.0,20.0,69.0,7.0,360.0,30.16,30.18,10,1
51.0,10.0,30.0,18.0,61.0,14.0,250.0,29.88,29.91,11,0
51.0,10.0,39.0,26.0,60.0,13.0,270.0,29.85,29.88,12,1
51.0,10.0,31.0,8.0,38.0,9.0,330.0,30.04,30.07,13,0
51.0,10.0,34.0,14.0,44.0,7.0,360.0,30.14,30.16,14,0
51.0,10.0,31.0,11.0,43.0,14.0,330.0,30.32,30.34,15,1
51.0,10.0,30.0,8.0,39.0,10.0,30.0,30.0,30.02,16,0
51.0,0.75,26.0,21.0,81.0,20.0,10.0,29.64,29.66,17,1
51.0,10.0,19.0,8.0,62.0,14.0,340.0,29.85,29.87,18,1
51.0,10.0,21.0,4.0,48.0,5.0,360.0,30.27,30.3,19,0
51.0,2.0,33.0,29.0,85.0,8.0,210.0,29.96,29.98,20,1
51.0,1.5,33.0,30.0,89.0,9.0,110.0,29.95,29.97,21,0
51.0,10.0,15.0,3.0,59.0,28.0,310.0,29.96,29.99,22,0
51.0,10.0,23.0,12.0,63.0,9.0,230.0,30.32,30.34,23,0
51.0,10.0,37.0,31.0,79.0,7.0,180.0,29.88,29.9,24,0
51.0,10.0,14.0,0.0,53.0,15.0,320.0,30.21,30.23,25,1
51.0,10.0,28.0,22.0,78.0,18.0,30.0,29.93,29.95,26,1
51.0,10.0,27.0,19.0,72.0,14.0,20.0,30.01,30.04,27,0
51.0,10.0,29.0,18.0,63.0,14.0,10.0,30.03,30.05,28,0
51.0,10.0,27.0,18.0,69.0,0.0,0.0,29.9,29.92,29,0
51.0,10.0,15.0,-5.0,40.0,30.0,310.0,29.93,29.96,30,0
51.0,10.0,20.0,-2.0,38.0,0.0,0.0,30.03,30.06,31,0
51.0,10.0,19.0,9.0,65.0,0.0,0.0,29.93,29.95,32,0
51.0,10.0,25.0,12.0,58.0,17.0,250.0,29.7,29.73,33,0
51.0,10.0,7.0,-16.0,33.0,26.0,300.0,30.01,30.04,34,0
51.0,10.0,37.0,27.0,67.0,10.0,270.0,30.19,30.21,35,0
51.0,10.0,9.0,-10.0,41.0,15.0,330.0,30.38,30.41,36,0
51.0,10.0,23.0,13.0,65.0,9.0,260.0,29.82,29.84,37,1
51.0,10.0,31.0,11.0,43.0,8.0,40.0,30.01,30.04,38,1
51.0,10.0,23.0,5.0,46.0,9.0,360.0,30.16,30.18,39,1
51.0,8.0,31.0,26.0,82.0,7.0,250.0,30.11,30.14,40,0
51.0,10.0,28.0,9.0,45.0,9.0,320.0,30.37,30.39,41,1
51.0,10.0,36.0,32.0,85.0,14.0,230.0,29.8,29.82,42,1
51.0,7.0,41.0,37.0,86.0,8.0,290.0,29.88,29.91,43,1
51.0,10.0,19.0,5.0,54.0,16.0,330.0,30.37,30.4,44,1
51.0,10.0,34.0,24.0,67.0,8.0,240.0,30.11,30.14,45,0
51.0,10.0,35.0,26.0,70.0,0.0,0.0,30.27,30.29,46,1
51.0,0.5,42.0,39.0,89.0,3.0,230.0,29.93,29.95,47,1
51.0,10.0,47.0,18.0,31.0,21.0,310.0,30.09,30.12,48,0
51.0,10.0,35.0,0.0,22.0,8.0,350.0,30.6,30.63,49,1
51.0,10.0,38.0,22.0,53.0,22.0,310.0,30.0,30.02,50,0
51.0,10.0,43.0,35.0,73.0,5.0,190.0,29.74,29.76,51,0
51.0,10.0,34.0,6.0,31.0,20.0,320.0,29.93,29.96,52,0
51.0,10.0,32.0,7.0,35.0,14.0,310.0,30.19,30.22,53,1
51.0,10.0,33.0,8.0,35.0,7.0,50.0,30.34,30.36,54,0
51.0,10.0,28.0,3.0,34.0,11.0,330.0,30.19,30.22,55,1
51.0,10.0,31.0,3.0,30.0,9.0,360.0,30.25,30.28,56,1
51.0,10.0,34.0,21.0,59.0,6.0,220.0,30.37,30.4,57,1
51.0,7.0,44.0,42.0,93.0,0.0,0.0,30.09,30.12,58,0
51.0,10.0,45.0,40.0,83.0,10.0,330.0,29.67,29.7,59,0
51.0,10.0,36.0,18.0,48.0,10.0,210.0,30.08,30.1,60,0
51.0,10.0,45.0,32.0,60.0,11.0,280.0,29.85,29.87,61,1
51.0,10.0,37.0,31.0,79.0,10.0,320.0,29.82,29.84,62,1
51.0,10.0,39.0,23.0,53.0,0.0,0.0,30.22,30.24,63,0
51.0,10.0,40.0,32.0,73.0,6.0,110.0,30.25,30.28,64,0
51.0,10.0,48.0,42.0,80.0,3.0,160.0,30.14,30.17,65,1
51.0,10.0,44.0,39.0,83.0,9.0,50.0,30.3,30.33,66,0
51.0,5.0,39.0,35.0,86.0,13.0,50.0,30.22,30.25,67,0
51.0,7.0,40.0,37.0,89.0,15.0,110.0,30.17,30.2,68,0
51.0,10.0,46.0,39.0,77.0,3.0,230.0,30.3,30.33,69,1
51.0,10.0,52.0,46.0,80.0,14.0,180.0,30.11,30.14,70,0
51.0,10.0,50.0,35.0,57.0,0.0,0.0,30.09,30.11,71,0
51.0,10.0,56.0,22.0,27.0,10.0,20.0,30.37,30.39,72,0
51.0,10.0,52.0,44.0,74.0,11.0,190.0,30.22,30.24,73,1
51.0,10.0,47.0,41.0,80.0,14.0,90.0,30.09,30.11,74,0
51.0,0.5,52.0,50.0,93.0,8.0,170.0,29.56,29.58,75,1
51.0,10.0,50.0,37.0,61.0,9.0,240.0,29.78,29.8,76,0
51.0,10.0,46.0,31.0,56.0,17.0,300.0,29.69,29.71,77,0
51.0,10.0,42.0,17.0,36.0,16.0,300.0,29.82,29.84,78,0
51.0,10.0,51.0,29.0,43.0,9.0,310.0,29.67,29.69,79,1
51.0,10.0,53.0,37.0,55.0,17.0,330.0,29.7,29.72,80,0
51.0,10.0,59.0,38.0,46.0,11.0,310.0,29.72,29.75,81,0
51.0,10.0,50.0,42.0,74.0,9.0,30.0,29.72,29.74,82,1
51.0,10.0,50.0,39.0,66.0,8.0,80.0,29.91,29.94,83,0
51.0,10.0,51.0,46.0,83.0,0.0,0.0,30.16,30.18,84,0
51.0,10.0,58.0,47.0,67.0,6.0,190.0,30.16,30.18,85,1
51.0,10.0,66.0,54.0,65.0,5.0,340.0,30.16,30.19,86,1
51.0,10.0,56.0,45.0,67.0,3.0,340.0,30.22,30.24,87,0
51.0,0.0,56.0,54.0,93.0,5.0,180.0,30.12,30.15,88,0
51.0,8.0,63.0,61.0,93.0,5.0,200.0,30.12,30.15,89,1
51.0,0.5,66.0,64.0,93.0,0.0,0.0,29.9,29.92,90,0
51.0,10.0,63.0,41.0,45.0,18.0,320.0,29.9,29.92,91,1
51.0,10.0,54.0,36.0,51.0,14.0,330.0,30.27,30.29,92,0
51.0,10.0,53.0,39.0,59.0,10.0,230.0,30.29,30.32,93,0
51.0,6.0,64.0,60.0,87.0,0.0,0.0,30.08,30.1,94,0
51.0,1.5,57.0,54.0,90.0,6.0,100.0,30.04,30.07,95,1
51.0,10.0,66.0,55.0,68.0,15.0,350.0,29.82,29.84,96,1
51.0,10.0,54.0,34.0,47.0,6.0,350.0,29.98,30.0,97,0
51.0,10.0,55.0,47.0,75.0,6.0,250.0,29.85,29.87,98,1
51.0,10.0,64.0,51.0,63.0,11.0,200.0,30.17,30.2,99,1
51.0,10.0,62.0,56.0,81.0,7.0,190.0,30.16,30.18,100,0
51.0,10.0,60.0,57.0,90.0,7.0,180.0,30.11,30.14,101,0
51.0,10.0,69.0,53.0,57.0,10.0,10.0,30.22,30.25,102,1
51.0,10.0,62.0,58.0,87.0,14.0,90.0,30.09,30.11,103,1
51.0,10.0,52.0,48.0,86.0,13.0,30.0,30.11,30.13,104,0
51.0,10.0,54.0,50.0,86.0,8.0,60.0,30.16,30.18,105,1
51.0,10.0,57.0,49.0,75.0,7.0,90.0,30.22,30.25,106,1
51.0,10.0,57.0,49.0,75.0,8.0,30.0,30.16,30.19,107,1
51.0,10.0,62.0,54.0,75.0,8.0,200.0,30.09,30.12,108,1
51.0,10.0,66.0,62.0,87.0,13.0,180.0,29.75,29.78,109,1
51.0,10.0,71.0,56.0,59.0,8.0,320.0,29.78,29.81,110,0
51.0,10.0,69.0,60.0,73.0,10.0,200.0,29.85,29.88,111,0
51.0,10.0,77.0,67.0,71.0,8.0,250.0,29.91,29.93,112,1
51.0,10.0,67.0,63.0,87.0,7.0,140.0,30.01,30.03,113,0
51.0,10.0,66.0,61.0,84.0,7.0,10.0,29.93,29.96,114,0
51.0,10.0,73.0,60.0,64.0,6.0,340.0,29.95,29.97,115,1
51.0,10.0,66.0,57.0,73.0,8.0,120.0,30.11,30.13,116,0
51.0,10.0,67.0,62.0,84.0,5.0,200.0,29.93,29.95,117,1
51.0,10.0,74.0,57.0,56.0,11.0,40.0,30.0,30.02,118,1
51.0,10.0,75.0,66.0,74.0,8.0,230.0,29.93,29.95,119,0
51.0,10.0,76.0,57.0,52.0,15.0,330.0,29.88,29.9,120,1
51.0,10.0,72.0,48.0,43.0,7.0,330.0,30.01,30.04,121,1
51.0,10.0,72.0,62.0,71.0,7.0,270.0,29.93,29.95,122,1
51.0,10.0,70.0,56.0,61.0,15.0,270.0,29.74,29.76,123,1
51.0,10.0,69.0,61.0,76.0,8.0,220.0,29.95,29.97,124,1
51.0,10.0,73.0,69.0,87.0,14.0,160.0,29.78,29.81,125,1
51.0,10.0,76.0,59.0,56.0,8.0,310.0,29.85,29.88,126,1
51.0,10.0,71.0,66.0,84.0,3.0,190.0,30.12,30.15,127,0
51.0,10.0,75.0,70.0,85.0,8.0,160.0,30.06,30.08,128,0
51.0,10.0,76.0,70.0,82.0,9.0,200.0,29.93,29.96,129,1
51.0,10.0,76.0,72.0,87.0,6.0,330.0,29.93,29.96,130,1
51.0,10.0,75.0,71.0,87.0,10.0,250.0,29.78,29.8,131,0
51.0,10.0,74.0,65.0,74.0,5.0,180.0,29.93,29.96,132,0
51.0,10.0,74.0,69.0,84.0,0.0,0.0,29.77,29.79,133,0
51.0,10.0,75.0,71.0,87.0,3.0,220.0,29.56,29.58,134,1
51.0,10.0,73.0,45.0,37.0,15.0,10.0,29.88,29.91,135,0
51.0,10.0,67.0,59.0,76.0,6.0,240.0,30.06,30.09,136,0
51.0,10.0,82.0,74.0,77.0,8.0,240.0,29.7,29.73,137,1
51.0,10.0,80.0,71.0,74.0,7.0,230.0,29.65,29.67,138,1
51.0,10.0,75.0,56.0,52.0,16.0,340.0,29.65,29.67,139,0
51.0,10.0,75.0,49.0,40.0,11.0,330.0,29.87,29.89,140,1
51.0,10.0,76.0,48.0,37.0,3.0,340.0,29.9,29.92,141,1
51.0,10.0,76.0,66.0,71.0,6.0,170.0,29.98,30.0,142,1
51.0,10.0,75.0,69.0,82.0,8.0,220.0,30.0,30.02,143,0
51.0,10.0,78.0,71.0,79.0,8.0,240.0,29.96,29.98,144,0
51.0,10.0,78.0,71.0,79.0,6.0,220.0,29.91,29.94,145,0
51.0,7.0,77.0,73.0,88.0,7.0,270.0,29.82,29.84,146,1
51.0,10.0,75.0,61.0,62.0,10.0,230.0,29.85,29.87,147,1
51.0,10.0,76.0,71.0,85.0,9.0,210.0,29.8,29.83,148,1
51.0,10.0,77.0,56.0,48.0,5.0,360.0,29.88,29.91,149,1
51.0,10.0,74.0,50.0,43.0,9.0,350.0,29.93,29.95,150,1
51.0,10.0,74.0,62.0,66.0,0.0,0.0,29.88,29.91,151,1
51.0,10.0,72.0,63.0,73.0,6.0,150.0,30.03,30.06,152,0
51.0,10.0,76.0,65.0,69.0,14.0,170.0,29.91,29.94,153,1
51.0,10.0,76.0,64.0,67.0,10.0,320.0,29.75,29.78,154,0
51.0,10.0,73.0,58.0,59.0,10.0,340.0,29.91,29.94,155,1
51.0,10.0,70.0,62.0,76.0,5.0,190.0,30.11,30.13,156,0
51.0,10.0,77.0,68.0,74.0,8.0,240.0,30.06,30.09,157,0
51.0,10.0,77.0,64.0,64.0,5.0,180.0,30.03,30.05,158,1
51.0,10.0,77.0,73.0,88.0,9.0,190.0,30.01,30.04,159,1
51.0,10.0,78.0,73.0,85.0,8.0,140.0,30.01,30.04,160,1
51.0,10.0,78.0,73.0,85.0,9.0,140.0,29.93,29.96,161,1
51.0,10.0,73.0,69.0,87.0,5.0,250.0,29.91,29.93,162,0
51.0,10.0,76.0,69.0,79.0,3.0,150.0,29.85,29.87,163,1
51.0,10.0,75.0,50.0,42.0,10.0,320.0,29.88,29.91,164,0
51.0,10.0,72.0,54.0,53.0,8.0,320.0,30.0,30.02,165,0
51.0,10.0,70.0,53.0,55.0,5.0,340.0,30.11,30.13,166,0
51.0,10.0,77.0,67.0,71.0,8.0,230.0,30.01,30.04,167,1
51.0,10.0,78.0,71.0,79.0,9.0,240.0,29.98,30.01,168,1
51.0,10.0,74.0,70.0,87.0,6.0,210.0,30.03,30.06,169,0
51.0,10.0,75.0,71.0,87.0,6.0,230.0,29.85,29.88,170,1
51.0,10.0,77.0,69.0,76.0,3.0,260.0,29.88,29.91,171,1
51.0,10.0,76.0,68.0,76.0,14.0,240.0,30.01,30.04,172,0
51.0,10.0,75.0,70.0,85.0,8.0,220.0,29.96,29.98,173,1
51.0,6.0,78.0,74.0,88.0,0.0,0.0,29.83,29.85,174,0
51.0,6.0,70.0,67.0,90.0,13.0,20.0,29.67,29.69,175,0
51.0,10.0,62.0,47.0,58.0,16.0,280.0,29.88,29.9,176,1
51.0,10.0,67.0,47.0,49.0,5.0,290.0,30.19,30.22,177,0
51.0,10.0,69.0,59.0,71.0,0.0,0.0,30.27,30.3,178,0
51.0,10.0,70.0,61.0,73.0,3.0,220.0,30.19,30.22,179,1
51.0,10.0,69.0,57.0,66.0,8.0,240.0,30.03,30.06,180,1
51.0,10.0,63.0,44.0,50.0,13.0,30.0,30.09,30.12,181,0
51.0,10.0,63.0,45.0,52.0,8.0,50.0,30.24,30.26,182,0
51.0,10.0,64.0,55.0,73.0,5.0,20.0,30.22,30.25,183,1
51.0,10.0,60.0,52.0,75.0,3.0,10.0,30.22,30.24,184,0
51.0,10.0,65.0,55.0,70.0,8.0,40.0,30.32,30.35,185,1
51.0,10.0,61.0,58.0,90.0,5.0,10.0,30.29,30.31,186,1
51.0,10.0,71.0,68.0,90.0,0.0,0.0,30.09,30.12,187,1
51.0,6.0,74.0,71.0,90.0,15.0,110.0,29.78,29.8,188,0
51.0,10.0,59.0,49.0,70.0,15.0,10.0,29.96,29.99,189,0
51.0,8.0,56.0,50.0,80.0,21.0,40.0,30.14,30.17,190,0
51.0,10.0,54.0,44.0,69.0,17.0,30.0,30.19,30.22,191,0
51.0,10.0,53.0,48.0,83.0,5.0,360.0,30.06,30.09,192,1
51.0,10.0,61.0,51.0,70.0,7.0,10.0,29.95,29.97,193,0
51.0,10.0,60.0,49.0,67.0,3.0,310.0,30.03,30.06,194,0
51.0,10.0,61.0,58.0,90.0,7.0,190.0,30.06,30.09,195,0
51.0,10.0,56.0,51.0,83.0,6.0,240.0,29.87,29.89,196,0
51.0,10.0,61.0,57.0,87.0,6.0,200.0,29.69,29.71,197,1
51.0,10.0,64.0,52.0,65.0,10.0,260.0,29.64,29.66,198,1
51.0,10.0,56.0,41.0,57.0,11.0,340.0,29.88,29.9,199,0
51.0,10.0,57.0,44.0,62.0,15.0,230.0,29.93,29.96,200,0
51.0,10.0,38.0,24.0,57.0,8.0,340.0,30.4,30.42,201,0
51.0,10.0,49.0,35.0,59.0,16.0,220.0,30.25,30.28,202,0
51.0,10.0,58.0,43.0,58.0,8.0,220.0,30.22,30.25,203,1
51.0,10.0,55.0,49.0,80.0,9.0,230.0,30.22,30.24,204,0
51.0,10.0,64.0,49.0,58.0,13.0,340.0,30.09,30.11,205,0
51.0,10.0,48.0,34.0,59.0,8.0,340.0,30.27,30.3,206,1
51.0,10.0,45.0,35.0,68.0,6.0,30.0,30.48,30.51,207,0
51.0,10.0,52.0,44.0,74.0,10.0,60.0,30.42,30.45,208,0
51.0,7.0,67.0,64.0,90.0,25.0,190.0,29.62,29.64,209,0
51.0,10.0,57.0,33.0,40.0,14.0,270.0,29.77,29.79,210,1
51.0,10.0,59.0,49.0,70.0,7.0,260.0,29.98,30.01,211,0
51.0,10.0,52.0,46.0,80.0,0.0,0.0,30.11,30.13,212,0
51.0,10.0,54.0,47.0,77.0,3.0,240.0,30.24,30.27,213,1
51.0,0.5,55.0,53.0,93.0,0.0,0.0,30.29,30.32,214,1
51.0,10.0,64.0,61.0,90.0,6.0,200.0,30.11,30.13,215,0
51.0,10.0,42.0,36.0,79.0,0.0,0.0,30.42,30.45,216,1
51.0,10.0,53.0,44.0,72.0,7.0,60.0,30.27,30.29,217,0
51.0,7.0,52.0,49.0,90.0,13.0,20.0,29.7,29.73,218,1
51.0,10.0,53.0,49.0,86.0,6.0,70.0,29.95,29.97,219,1
51.0,10.0,56.0,39.0,53.0,17.0,290.0,29.56,29.58,220,1
51.0,10.0,52.0,36.0,55.0,9.0,260.0,30.16,30.18,221,0
51.0,10.0,51.0,29.0,43.0,11.0,40.0,30.34,30.36,222,1
51.0,10.0,45.0,34.0,65.0,8.0,60.0,30.53,30.56,223,0
51.0,10.0,58.0,52.0,81.0,11.0,130.0,30.32,30.34,224,0
51.0,1.0,60.0,58.0,93.0,6.0,230.0,29.93,29.95,225,1
51.0,10.0,42.0,22.0,45.0,16.0,350.0,29.88,29.9,226,1
51.0,10.0,34.0,17.0,50.0,6.0,330.0,30.24,30.27,227,0
51.0,10.0,35.0,24.0,64.0,0.0,0.0,30.53,30.56,228,1
51.0,7.0,51.0,49.0,93.0,6.0,200.0,30.6,30.63,229,0
51.0,10.0,38.0,23.0,55.0,11.0,30.0,30.37,30.4,230,1
51.0,10.0,46.0,38.0,74.0,8.0,50.0,30.29,30.31,231,0
51.0,9.0,48.0,45.0,89.0,5.0,360.0,29.98,30.0,232,1
51.0,10.0,55.0,48.0,77.0,10.0,260.0,29.65,29.67,233,1
51.0,10.0,45.0,29.0,54.0,13.0,310.0,30.22,30.25,234,0
51.0,9.0,44.0,38.0,80.0,8.0,250.0,30.24,30.26,235,1
51.0,10.0,44.0,31.0,60.0,14.0,350.0,30.04,30.07,236,0
51.0,10.0,39.0,31.0,73.0,0.0,0.0,30.11,30.14,237,1
51.0,10.0,55.0,49.0,80.0,13.0,170.0,29.96,29.99,238,0
51.0,9.0,50.0,47.0,90.0,3.0,240.0,29.91,29.94,239,1
51.0,10.0,54.0,49.0,83.0,7.0,80.0,30.08,30.1,240,0
51.0,0.25,60.0,58.0,93.0,22.0,190.0,29.39,29.41,241,0
51.0,10.0,53.0,36.0,53.0,16.0,320.0,29.9,29.92,242,0
51.0,10.0,50.0,47.0,90.0,6.0,120.0,30.06,30.08,243,1
51.0,10.0,55.0,51.0,86.0,10.0,250.0,29.65,29.68,244,1
51.0,10.0,38.0,24.0,57.0,10.0,230.0,30.42,30.44,245,0
51.0,10.0,54.0,48.0,80.0,5.0,240.0,30.09,30.11,246,0
51.0,5.0,54.0,51.0,90.0,3.0,310.0,30.09,30.11,247,0
51.0,0.25,59.0,57.0,93.0,20.0,180.0,29.83,29.86,248,1
51.0,10.0,47.0,35.0,63.0,21.0,340.0,30.09,30.11,249,0
51.0,6.0,34.0,30.0,85.0,14.0,50.0,30.37,30.4,250,0
51.0,10.0,41.0,38.0,89.0,5.0,30.0,30.19,30.21,251,1
51.0,5.0,48.0,46.0,93.0,9.0,360.0,30.01,30.03,252,1
51.0,10.0,38.0,25.0,60.0,9.0,290.0,29.87,29.89,253,0
51.0,10.0,14.0,-1.0,51.0,24.0,350.0,30.37,30.39,254,0
51.0,10.0,22.0,11.0,63.0,0.0,0.0,30.58,30.6,255,0
51.0,10.0,33.0,14.0,46.0,8.0,260.0,30.37,30.4,256,1
51.0,10.0,35.0,21.0,57.0,6.0,30.0,30.16,30.19,257,1
